Data;UF;Cidade;Regiao;CodigoEstacao;Latitude;Longitude;Altitude;ArquivoFonte;Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Unnamed: 7;Unnamed: 6
20060430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-04-30;14,0;;887,7;21,3;7,1;2,8;;
20060531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-05-31;;;;20,1;7,5;;;
20060630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-06-30;1,0;0,2;891,5;18,9;10,5;4,2;;
20060731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-07-31;2,0;5,4;891,6;19,5;9,1;3,5;;
20060831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-08-31;8,0;5,6;890,3;22,0;9,3;3,8;;
20060930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-09-30;12,0;2,8;889,5;22,2;9,8;3,8;;
20061031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-10-31;20,0;412,8;887,6;21,3;9,2;2,9;;
20061130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-11-30;22,0;232,4;886,7;21,5;11,3;3,2;;
20061231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2006-12-31;20,0;446,4;887,6;21,4;9,7;3,2;;
20070131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-01-31;28,0;531,0;887,7;21,8;8,7;2,7;;
20070228.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-02-28;19,0;282,4;887,4;21,5;9,4;3,7;;
20070331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-03-31;5,0;143,6;888,5;22,6;9,5;3,5;;
20070430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-04-30;11,0;105,6;888,9;22,1;8,8;3,1;;
20070531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-05-31;1,0;5,4;889,6;21,0;10,0;3,5;;
20070630.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-06-30;1,0;0,2;891,4;20,1;8,6;3,3;;
20070731.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-07-31;;0,0;890,7;20,8;8,8;3,7;;
20070831.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-08-31;;0,0;890,9;20,4;12,1;4,0;;
20070930.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-09-30;;0,0;890,2;23,3;11,9;4,4;;
20071031.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-10-31;7,0;65,6;887,5;24,1;9,8;3,6;;
20071130.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-11-30;12,0;;885,9;;9,3;2,8;;
20071231.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2007-12-31;;;;;11,4;;;
20080131.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-01-31;21,0;346,6;886,6;21,2;8,8;3,0;;
20080229.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-02-29;23,0;378,0;887,5;21,4;8,7;2,5;;
20080331.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-03-31;19,0;327,6;887,3;21,2;8,5;2,8;;
20080430.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-04-30;13,0;357,2;887,0;21,7;8,2;2,5;;
20080531.0;;FACULDADE DA TERRA DE BRASILIA;;A008;-15.907513;-48.119977;1144.2;dados_A008_M_2004-01-01_2013-02-19.csv;2008-05-31;2,0;0,4;889,6;20,4;7,9;2,9;;
