;Consumo;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
Consumo;1,0;-0,01390460977241831;-0,01852635217269054;0,10329982519441126;0,07980276575680381;-0,10764879715688844;-0,05712276088027029
NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);-0,01390460977241831;1,0;0,9060713843644178;-0,20121827143745397;0,042735545363771846;0,06416927835641545;-0,07134740528139044
PRECIPITACAO TOTAL, MENSAL (AUT)(mm);-0,01852635217269054;0,9060713843644178;1,0;-0,1896190849253311;0,09168760739586829;0,09333224930120529;-0,1235703139584519
PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);0,10329982519441126;-0,20121827143745397;-0,1896190849253311;1,0;0,479554575170693;-0,4782168792315083;-0,17429192074189973
TEMPERATURA MEDIA, MENSAL (AUT)(°C);0,07980276575680381;0,042735545363771846;0,09168760739586829;0,479554575170693;1,0;-0,48913467388462256;-0,3013914256843513
VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);-0,10764879715688844;0,06416927835641545;0,09333224930120529;-0,4782168792315083;-0,48913467388462256;1,0;0,7483132747698843
VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);-0,05712276088027029;-0,07134740528139044;-0,1235703139584519;-0,17429192074189973;-0,3013914256843513;0,7483132747698843;1,0
