pipeline;mae_mean;rmse_mean;r2_mean
sensitive_robust;485726,2991287039;648014,1919783389;0,3700289126898807
sensitive_std;485726,98919907416;648015,1101456769;0,3700285740989496
tree;488319,4084324074;650867,5922422147;0,36721281061649524
