;count;mean;std;min;25%;50%;75%;max;skew;kurtosis
Consumo;1300,0;433351436371180,5;3117410237606529,5;3202373,0;8757180,0;14508025,0;27036826,25;3,5513319999999996e+16;8,804198075721338;82,25437776999743
NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);1300,0;782,886923076923;497,3112203312465;6,0;374,75;766,5;1104,0;2834,0;0,47513716586355054;0,07372671918972795
PRECIPITACAO TOTAL, MENSAL (AUT)(mm);1300,0;7055,325230769231;6001,0804876757875;0,0;2328,5;5758,1;10424,1;35930,8;1,2617242107196027;2,120107384947749
PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);1298,0;966,4523866027812;18,214160628696938;911,45;951,6752817745802;956,5475824175824;980,4491901993356;1015,3;0,49721948565953566;-1,0669748198996822
TEMPERATURA MEDIA, MENSAL (AUT)(°C);1300,0;23,415920466789014;3,1812420479322685;12,149206349206349;22,00950630252101;24,197115384615387;25,76861581001952;28,652631578947368;-1,1596890702067966;0,958415705714025
VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);1300,0;6,855744386690597;1,0842580332272573;4,1;6,0228913043478265;6,794744074201306;7,552681231380338;10,6453125;0,41945643702352486;-0,06881466907376543
VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);1296,0;1,926066807757244;0,509938002230664;0,9;1,5268193493150684;1,8713307240704502;2,260949858757062;4,121052631578947;0,5521185160818709;0,04012119532973335
