Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor;Consumo;Consumidores;DataVersao
20250501;01/05/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;430.011,5;2.588.152;22/09/2025
20250501;01/05/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;106,1;4;22/09/2025
20250501;01/05/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;1.082,9;816;22/09/2025
20250501;01/05/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;821.455,2;4.078.080;22/09/2025
20250501;01/05/2025;Norte;NORTE INTERLIGADO;Residencial;Livre;3,9;1;22/09/2025
20250501;01/05/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;128.324,4;575.884;22/09/2025
20250501;01/05/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;220.817,1;810.165;22/09/2025
20250501;01/05/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.512.665,5;36.842.754;22/09/2025
20250501;01/05/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;1.424,7;50;22/09/2025
20250501;01/05/2025;Sul;SUL;Residencial;Cativo;2.242.042,4;11.759.858;22/09/2025
20250501;01/05/2025;Sul;SUL;Residencial;Livre;379,2;7;22/09/2025
20250401;01/04/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.403.910,0;6.515.725;22/09/2025
20250401;01/04/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;130,0;10;22/09/2025
20250401;01/04/2025;Nordeste;NORDESTE;Residencial;Cativo;2.675.646,4;20.271.943;22/09/2025
20250401;01/04/2025;Nordeste;NORDESTE;Residencial;Livre;67,1;3;22/09/2025
20250401;01/04/2025;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;406.666,4;2.584.620;22/09/2025
20250401;01/04/2025;Nordeste;NORTE INTERLIGADO;Residencial;Livre;96,6;4;22/09/2025
20250401;01/04/2025;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;924,8;809;22/09/2025
20250401;01/04/2025;Norte;NORTE INTERLIGADO;Residencial;Cativo;784.145,5;4.126.185;22/09/2025
20250401;01/04/2025;Norte;NORTE INTERLIGADO;Residencial;Livre;2,0;1;22/09/2025
20250401;01/04/2025;Norte;SISTEMAS ISOLADOS;Residencial;Cativo;129.651,3;595.536;22/09/2025
20250401;01/04/2025;Norte;SUDESTE / CENTRO - OESTE;Residencial;Cativo;197.762,5;807.800;22/09/2025
20250401;01/04/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;6.639.882,2;36.746.759;22/09/2025
20250401;01/04/2025;Sudeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;1.475,7;48;22/09/2025
20250401;01/04/2025;Sul;SUL;Residencial;Cativo;2.370.844,6;11.735.679;22/09/2025
20250401;01/04/2025;Sul;SUL;Residencial;Livre;131,1;7;22/09/2025
20250301;01/03/2025;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.470.251,9;6.500.473;22/09/2025
