MesAno;Regiao;Consumo;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Estacao
2004-10;Sudeste;3608129,9;89,0;554,6;932,825;22,885714285714283;8,6625;2,9125;primavera
2004-10;Sul;1069478,3;18,0;199,0;992,95;17,6;6,95;2,45;primavera
2004-11;Centro-Oeste;505694,4;148,0;1162,0;953,29;25,41;7,363636363636363;1,89;primavera
2004-11;Nordeste;1083211,6;167,0;1388,0;988,0473684210527;26,0;8,52;3,8499999999999996;primavera
2004-11;Norte;362279,3;6,0;7,2;1004,1;27,3;5,550000000000001;3,0;primavera
2004-11;Sudeste;3608514,9;98,0;245,8;958,8375;23,266666666666666;7,9799999999999995;2,5625;primavera
2004-11;Sul;1071489,9;22,0;268,4;990,9;19,6;7,3;2,35;primavera
2004-12;Centro-Oeste;513252,4;213,0;1976,8;953,1833333333334;25,181818181818183;6,958333333333333;1,75;verão
2004-12;Nordeste;1104220,2;77,0;468,20000000000005;990,2111111111111;26,6;7,968181818181819;3,235294117647059;verão
2004-12;Norte;355893,7;29,0;54,4;1004,3;26,75;5,35;2,5;verão
2004-12;Sudeste;3569437,9;184,0;1436,2;956,4777777777776;24,008333333333336;7,908333333333334;1,95;verão
2004-12;Sul;1100567,1;22,0;105,4;991,15;22,4;7,2;2,8;verão
2005-01;Centro-Oeste;526993,9;239,0;2272,0;952,3249999999999;24,9;6,591666666666666;1,7916666666666667;verão
2005-01;Nordeste;1166974,2;184,0;912,4;985,865;26,885714285714286;8,108695652173912;3,0157894736842104;verão
2005-01;Norte;355959,6;47,0;657,0;1005,7;26,6;5,85;1,6500000000000001;verão
2005-01;Sudeste;3873894,3;280,0;3997,4;949,6416666666668;23,892857142857142;7,6000000000000005;1,8583333333333334;verão
2005-01;Sul;1194715,8;32,0;253,4;984,5;25,766666666666666;7,6000000000000005;2,2333333333333334;verão
