Nome: ESCOLA NAVAL
Codigo Estacao: A651
Latitude: -22.91472222
Longitude: -43.15944444
Altitude: 14
Situacao: Desativada
Data Inicial: 2007-04-17
Data Final: 2007-09-26
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-04-30;2;null;null;null;null;null;
2007-05-31;6;null;1016,6;22;9,6;2,5;
2007-06-30;7;40,6;1017,6;21,9;11,2;2,3;
2007-07-31;7;64;1018;21,2;12;2,2;
2007-08-31;5;12,4;1019,6;21,4;12,1;2,5;
2007-09-30;2;6,6;1018,6;22,2;9,6;2,9;

